Date,Open,High,Low,Close,Adj Close,Volume,indicator
2018-12-31,63.040001000000004,63.650002,62.669998,63.32,59.560692,688100,0.0
2019-01-02,62.200001,63.07,61.580002,62.52,58.808178000000005,844100,0.0
2019-01-03,62.310001,62.400002,61.18,61.389998999999996,57.745274,855700,0.0
2019-01-04,62.009997999999996,64.040001,61.5,63.720001,59.93694300000001,903300,1.0
2019-01-07,63.709998999999996,64.58000200000001,63.52,64.18,60.36963299999999,877200,1.0
2019-01-08,64.75,64.989998,63.990002000000004,64.779999,60.934006000000004,802400,1.0
2019-01-09,64.809998,66.040001,64.5,65.68,61.780586,956500,1.0
2019-01-10,65.209999,66.059998,65.0,66.050003,62.128601,546500,1.0
2019-01-11,65.639999,66.599998,65.339996,66.57,62.617729000000004,628000,1.0
2019-01-14,66.41999799999999,66.629997,65.010002,65.760002,61.855819999999994,790700,0.0
2019-01-15,65.870003,66.349998,65.839996,66.260002,62.326145,567200,1.0
2019-01-16,66.230003,66.949997,66.089996,66.68,62.72120699999999,795800,1.0
2019-01-17,66.91999799999999,67.349998,66.459999,67.040001,63.059826,835700,1.0
2019-01-18,67.449997,68.459999,66.980003,67.900002,63.868767000000005,996200,1.0
2019-01-22,67.769997,68.18,66.900002,67.389999,63.38904599999999,648900,0.0
2019-01-23,67.540001,67.809998,66.629997,67.639999,63.624199,961600,1.0
2019-01-24,67.629997,68.160004,67.32,68.019997,63.981640000000006,649400,1.0
2019-01-25,68.400002,68.809998,68.160004,68.58000200000001,64.508415,759900,1.0
2019-01-28,68.059998,68.089996,67.050003,67.629997,63.614799,1215500,0.0
2019-01-29,67.790001,68.870003,67.510002,68.68,64.602448,944800,1.0
2019-01-30,68.849998,69.349998,68.220001,69.099998,64.997536,785600,1.0
2019-01-31,69.139999,69.550003,68.010002,69.18,65.072792,2594300,1.0
2019-02-01,69.540001,69.58000200000001,68.870003,69.339996,65.223274,825700,1.0
2019-02-04,69.230003,69.57,68.910004,69.57,65.439613,676700,1.0
2019-02-05,69.699997,70.0,69.440002,69.639999,65.505463,828200,1.0
2019-02-06,69.599998,70.160004,69.290001,69.769997,65.627739,756800,1.0
2019-02-07,69.050003,69.589996,69.040001,69.58000200000001,65.44903599999999,794300,0.0
2019-02-08,69.440002,70.459999,69.440002,70.260002,66.088661,867300,1.0
2019-02-11,70.110001,70.769997,70.059998,70.550003,66.36144300000001,710700,1.0
2019-02-12,70.66999799999999,71.760002,70.57,71.550003,67.302071,893900,1.0
2019-02-13,71.760002,71.800003,71.019997,71.400002,67.160973,629900,0.0
2019-02-14,71.239998,71.68,71.089996,71.389999,67.151566,443900,0.0
2019-02-15,71.519997,71.889999,71.07,71.620003,67.36792,1446900,1.0
2019-02-19,71.83000200000001,71.83000200000001,70.860001,70.970001,66.756508,1293600,0.0
2019-02-20,75.839996,83.300003,75.5,83.059998,78.128723,8418700,1.0
2019-02-21,82.290001,83.25,81.110001,82.41999799999999,77.52671099999999,3144200,0.0
2019-02-22,82.58000200000001,83.690002,81.940002,83.07,78.138123,1304300,1.0
2019-02-25,83.0,84.83000200000001,82.900002,83.550003,78.589638,1751400,1.0
2019-02-26,82.93,84.199997,82.879997,83.650002,78.683701,1058200,1.0
2019-02-27,83.300003,84.379997,83.279999,84.16999799999999,79.172821,1049200,1.0
2019-02-28,84.08000200000001,84.809998,83.800003,83.970001,78.984688,1424400,0.0
2019-03-01,84.040001,85.5,84.029999,84.690002,79.661957,1031100,1.0
2019-03-04,84.879997,84.900002,83.910004,84.739998,79.708969,1174100,1.0
2019-03-05,84.41999799999999,84.83000200000001,83.849998,83.970001,78.984688,1142000,0.0
2019-03-06,84.089996,84.290001,83.33000200000001,83.489998,78.53318,904300,0.0
2019-03-07,83.529999,83.660004,82.510002,83.010002,78.081688,1579600,0.0
2019-03-08,82.510002,83.449997,82.290001,82.68,77.771286,1107000,0.0
2019-03-11,82.760002,83.879997,82.599998,83.860001,78.881218,1162100,1.0
2019-03-12,83.790001,84.550003,83.360001,84.529999,79.511444,1314100,1.0
2019-03-13,84.709999,84.860001,83.68,83.940002,78.956482,1452800,0.0
2019-03-14,83.559998,84.16999799999999,82.459999,83.040001,78.60623199999999,1313100,0.0
2019-03-15,83.099998,83.870003,82.790001,83.25,78.80502299999999,2808700,1.0
2019-03-18,83.309998,84.089996,83.059998,83.949997,79.46764399999999,1505100,1.0
2019-03-19,84.239998,84.489998,83.470001,83.68,79.212059,1252600,0.0
2019-03-20,83.849998,84.959999,83.589996,84.220001,79.723236,835000,1.0
2019-03-21,83.720001,84.730003,83.629997,84.589996,80.073479,673000,1.0
2019-03-22,84.220001,84.57,83.33000200000001,83.58000200000001,79.117401,976100,0.0
2019-03-25,83.480003,84.300003,83.220001,84.139999,79.647491,879100,1.0
2019-03-26,84.449997,85.300003,84.400002,85.220001,80.66984599999999,1599400,1.0
2019-03-27,85.300003,86.699997,85.040001,85.889999,81.304062,1805800,1.0
2019-03-28,85.900002,86.43,85.209999,85.610001,81.039009,779900,0.0
2019-03-29,85.879997,86.449997,85.290001,86.349998,81.739494,1320700,1.0
2019-04-01,86.699997,88.029999,86.660004,87.879997,83.18779,1190800,1.0
2019-04-02,87.709999,88.389999,87.260002,88.25,83.538063,1081300,1.0
2019-04-03,88.699997,89.099998,88.18,88.559998,83.831505,1275800,1.0
2019-04-04,88.410004,88.449997,87.529999,88.199997,83.490723,862100,0.0
2019-04-05,88.519997,88.519997,88.010002,88.16999799999999,83.462326,660600,0.0
2019-04-08,88.16999799999999,89.190002,87.800003,89.099998,84.342659,903500,1.0
2019-04-09,88.760002,89.33000200000001,88.040001,88.230003,83.51911199999999,807900,0.0
2019-04-10,88.480003,89.08000200000001,88.050003,88.800003,84.058693,856900,1.0
2019-04-11,89.160004,89.160004,88.209999,89.010002,84.25748399999999,952800,1.0
2019-04-12,89.309998,89.720001,88.860001,88.949997,84.200676,674500,0.0
2019-04-15,89.07,89.089996,88.129997,88.660004,83.92615500000001,851700,0.0
2019-04-16,88.980003,88.980003,87.480003,87.769997,83.083679,946500,0.0
2019-04-17,88.129997,88.379997,85.82,86.190002,81.58805100000001,1233600,0.0
2019-04-18,85.91999799999999,87.040001,85.470001,86.529999,81.909882,1682600,1.0
2019-04-22,86.449997,86.610001,85.839996,86.07,81.47444899999999,548400,0.0
2019-04-23,86.139999,87.050003,85.949997,86.940002,82.298012,919600,1.0
2019-04-24,87.139999,87.540001,86.510002,86.620003,81.995079,721000,0.0
2019-04-25,86.5,86.5,85.260002,85.709999,81.133667,803800,0.0
2019-04-26,85.389999,86.050003,85.160004,85.800003,81.21887199999999,830400,1.0
2019-04-29,85.879997,86.07,84.91999799999999,85.459999,80.897018,770700,0.0
2019-04-30,85.089996,86.470001,85.089996,85.739998,81.162064,1498200,1.0
2019-05-01,82.0,83.199997,78.910004,80.059998,75.785347,3911000,0.0
2019-05-02,80.139999,80.239998,77.690002,78.760002,74.554764,1692400,0.0
2019-05-03,79.260002,79.629997,78.470001,79.550003,75.302582,949900,1.0
2019-05-06,78.510002,79.510002,78.019997,79.309998,75.075386,790500,0.0
2019-05-07,78.559998,79.199997,77.809998,78.370003,74.185585,1510900,0.0
2019-05-08,78.400002,79.160004,78.139999,78.68,74.479034,859000,1.0
2019-05-09,78.050003,78.940002,77.309998,78.559998,74.36541700000001,972300,0.0
2019-05-10,78.190002,79.559998,77.760002,79.309998,75.075386,961300,1.0
2019-05-13,78.110001,78.489998,76.739998,77.279999,73.153786,1120500,0.0
2019-05-14,77.349998,78.449997,76.91999799999999,77.989998,73.825867,974800,1.0
2019-05-15,77.699997,79.290001,77.410004,79.029999,74.810333,832200,1.0
2019-05-16,78.949997,80.08000200000001,78.940002,79.410004,75.17004399999999,897800,1.0
2019-05-17,78.900002,79.199997,77.93,78.139999,73.967873,2753600,0.0
2019-05-20,77.809998,78.150002,77.040001,77.260002,73.13485,1454000,0.0
2019-05-21,77.400002,78.25,77.260002,77.699997,73.551353,993500,1.0
2019-05-22,77.190002,78.099998,76.629997,77.230003,73.106438,1076000,0.0
2019-05-23,76.449997,77.32,76.08000200000001,77.300003,73.172714,1008900,1.0
2019-05-24,77.690002,78.25,77.550003,77.650002,73.504028,889600,1.0
2019-05-28,77.769997,77.870003,76.660004,76.860001,72.756203,2018700,0.0
2019-05-29,76.870003,77.260002,76.139999,76.379997,72.301826,929500,0.0
2019-05-30,76.519997,77.440002,76.519997,77.239998,73.115913,605300,1.0
2019-05-31,76.650002,76.910004,76.029999,76.480003,72.3965,967400,0.0
2019-06-03,76.470001,77.519997,76.190002,76.690002,72.595268,841200,1.0
2019-06-04,77.480003,78.32,76.779999,78.290001,74.10984,672000,1.0
2019-06-05,78.900002,79.309998,77.959999,78.459999,74.270775,1013100,1.0
2019-06-06,78.41999799999999,78.949997,77.910004,78.370003,74.185585,948200,0.0
2019-06-07,79.059998,79.300003,78.199997,78.949997,74.734612,756200,1.0
2019-06-10,79.529999,80.800003,79.529999,80.16999799999999,75.88945799999999,1118900,1.0
2019-06-11,80.599998,81.239998,80.040001,80.209999,75.92733,818600,1.0
2019-06-12,80.400002,80.940002,80.190002,80.68,76.372231,999400,1.0
2019-06-13,80.900002,81.16999799999999,80.019997,80.489998,76.19239,815100,0.0
2019-06-14,79.93,80.730003,79.779999,79.790001,76.068451,641700,0.0
2019-06-17,79.949997,80.400002,79.910004,79.959999,76.230515,948700,1.0
2019-06-18,80.690002,81.339996,80.43,80.849998,77.07901,1487800,1.0
2019-06-19,80.900002,81.730003,80.57,81.620003,77.813103,618400,1.0
2019-06-20,82.010002,82.739998,81.040001,81.739998,77.927498,785100,1.0
