Date,Open,High,Low,Close,Adj Close,Volume,indicator
2020-03-20,13.0,13.0,12.0,12.75,12.598919,2300,0.0
2020-03-23,12.75,12.75,11.5,11.54,11.403257,18700,0.0
2020-03-24,12.9,12.9,11.5,11.7,11.561361,96100,1.0
2020-03-25,11.8,13.45,11.8,13.45,13.290625,19200,1.0
2020-03-26,14.0,15.45,14.0,15.45,15.266925,76400,1.0
2020-03-27,15.0,16.0,14.55,14.55,14.37759,486500,0.0
2020-03-30,15.25,16.5,15.25,15.9,15.711592999999999,210000,1.0
2020-03-31,16.389999,17.25,14.56,17.25,17.045595000000002,461500,1.0
2020-04-01,16.0,16.0,14.56,15.05,14.871666000000001,2998900,0.0
2020-04-02,15.66,15.9,12.12,13.28,13.122639999999999,15966300,0.0
2020-04-03,13.75,17.0,13.38,16.92,16.719507,66934300,1.0
2020-04-06,17.059998999999998,17.15,14.85,15.44,15.257044,37138000,0.0
2020-04-07,15.2,15.8,14.55,15.25,15.069295,23486000,0.0
2020-04-08,14.5,15.25,13.73,14.26,14.091026000000001,49372700,0.0
2020-04-09,14.0,15.5,13.9,14.78,14.604865,34992600,1.0
2020-04-13,14.5,14.5,13.98,13.99,13.824225,21497400,0.0
2020-04-14,14.0,14.2,13.78,13.87,13.705649,22350000,0.0
2020-04-15,13.53,13.655,12.94,13.36,13.201691,14990700,0.0
2020-04-16,13.15,13.25,12.26,12.89,12.737260000000001,21745200,0.0
2020-04-17,13.3,13.83,12.93,13.74,13.577188,21336500,1.0
2020-04-20,13.5,14.74,13.475,14.45,14.278775,20032200,1.0
2020-04-21,14.22,15.25,14.18,14.69,14.515929999999999,16235900,1.0
2020-04-22,14.95,15.16,14.22,14.79,14.614747,12539500,1.0
2020-04-23,14.7,15.92,14.61,15.72,15.533726000000001,12226000,1.0
2020-04-24,15.6,16.67,15.29,16.25,16.057446,17390000,1.0
2020-04-27,16.17,16.809998999999998,15.975,16.799999,16.600929,12186100,1.0
2020-04-28,16.879998999999998,17.75,16.610001,17.0,16.798557000000002,12983800,1.0
2020-04-29,17.459999,18.08,17.17,17.639999,17.430977,12523200,1.0
2020-04-30,17.219998999999998,17.84,16.985001,17.709999,17.500145,19094100,1.0
2020-05-01,17.33,17.35,16.620001000000002,16.77,16.571282999999998,10727200,0.0
2020-05-04,16.15,16.52,15.69,16.4,16.205669,9700300,0.0
2020-05-05,16.68,16.76,15.84,15.97,15.780764999999999,16298000,0.0
2020-05-06,16.0,16.370001000000002,15.43,16.290001,16.096972,10647200,1.0
2020-05-07,16.209999,17.040001,15.88,16.41,16.215549,12454100,1.0
2020-05-08,17.040001,18.4,16.934998999999998,18.360001,18.142443,17693300,1.0
2020-05-11,18.43,18.75,18.02,18.35,18.132563,9574600,0.0
2020-05-12,18.389999,18.4,17.690001000000002,17.799999,17.589079,7743200,0.0
2020-05-13,17.209999,17.437,16.1,16.440001000000002,16.245195000000002,10676300,0.0
2020-05-14,16.02,16.715,15.72,16.549999,16.353891,7797200,1.0
2020-05-15,16.299999,16.965,16.0,16.709999,16.511995000000002,7353800,1.0
2020-05-18,17.299999,17.719998999999998,17.290001,17.549999,17.342041000000002,6135000,1.0
2020-05-19,17.440001000000002,17.92,17.15,17.77,17.559437,8338100,1.0
2020-05-20,18.16,19.049999,18.040001,18.73,18.50806,11910000,1.0
2020-05-21,18.540001,19.52,18.5,19.450001,19.21953,9711500,1.0
2020-05-22,19.469998999999998,19.860001,18.950001,19.049999,18.824268,5937100,0.0
2020-05-26,19.610001,20.6,19.34,19.51,19.27882,7305400,1.0
2020-05-27,19.57,20.129998999999998,19.43,19.99,19.75313,8969700,1.0
2020-05-28,20.08,20.459999,19.504998999999998,19.6,19.367752,8509200,0.0
2020-05-29,18.959999,20.98,18.879998999999998,20.469998999999998,20.227442,32990600,1.0
2020-06-01,20.549999,21.950001,20.549999,21.82,21.561445000000003,7695700,1.0
2020-06-02,21.690001000000002,21.829,20.905001000000002,21.360001,21.106895,8295600,0.0
2020-06-03,21.469998999999998,22.58,21.379998999999998,22.219998999999998,21.956705,9636300,1.0
