Date,Open,High,Low,Close,Adj Close,Volume,indicator,7dayMA
2018-12-31,129.190002,129.5,127.18,128.610001,128.610001,1394800,0.0,128.610001
2019-01-02,125.389999,129.639999,124.650002,128.96000700000002,128.96000700000002,1517500,1.0,128.78500400000001
2019-01-03,126.489998,127.5,121.120003,121.849998,121.849998,2564700,0.0,126.47333533333335
2019-01-04,124.370003,129.369995,121.809998,128.279999,128.279999,2480600,1.0,126.92500125000001
2019-01-07,128.270004,133.399994,128.149994,132.720001,132.720001,1634600,1.0,128.08400120000002
2019-01-08,134.259995,135.699997,132.25,133.869995,133.869995,1324800,1.0,129.0483335
2019-01-09,134.720001,137.779999,133.410004,136.770004,136.770004,1770500,1.0,130.1514292857143
2019-01-10,135.21000700000002,137.529999,134.850006,136.71000700000002,136.71000700000002,1517600,0.0,131.0883689591837
2019-01-11,135.779999,137.5,135.25,136.740005,136.740005,903200,1.0,131.89574553644317
2019-01-14,135.369995,136.179993,134.119995,134.75,134.75,906300,0.0,132.30349617409414
2019-01-15,131.880005,137.449997,131.880005,135.880005,135.880005,1574000,1.0,132.8144260063664
2019-01-16,136.179993,137.5,134.800003,135.300003,135.300003,1425800,0.0,133.16950843402836
2019-01-17,134.630005,137.899994,134.259995,136.5,136.5,2127900,1.0,133.6452929434529
2019-01-18,138.28999299999998,141.839996,135.46000700000002,141.729996,141.729996,2684500,1.0,134.80025052295963
2019-01-22,140.279999,141.520004,138.119995,139.059998,139.059998,2015500,0.0,135.40878587682255
2019-01-23,139.46000700000002,141.139999,136.559998,137.490005,137.490005,1637900,0.0,135.70610289441933
2019-01-24,136.020004,137.5,135.240005,136.050003,136.050003,2117900,0.0,135.75523148093086
2019-01-25,138.110001,142.479996,137.759995,142.080002,142.080002,1959500,1.0,136.65877012651217
2019-01-28,140.649994,141.089996,138.740005,140.770004,140.770004,1314600,0.0,137.24608925129613
2019-01-29,140.919998,141.770004,139.009995,140.160004,140.160004,806600,0.0,137.66236278682524
2019-01-30,141.679993,146.059998,140.610001,146.0,146.0,1295800,1.0,138.85345381727876
