Date,Open,High,Low,Close,Adj Close,Volume,indicator,7dayMA
2018-12-31,162.800003,166.21000700000005,162.0,165.71000700000005,165.71000700000005,1375400,0.0,165.71000700000005
2019-01-02,161.21000700000005,165.139999,160.949997,164.080002,164.080002,1465400,0.0,164.89500450000003
2019-01-03,165.830002,169.320007,163.179993,163.729996,163.729996,1690900,0.0,164.50666833333335
2019-01-04,165.899994,173.309998,164.899994,172.699997,172.699997,1874500,1.0,166.5550005
2019-01-07,173.050003,176.779999,170.869995,175.850006,175.850006,1294600,1.0,168.4140016
2019-01-08,177.0,178.410004,174.720001,178.190002,178.190002,1653200,1.0,170.04333499999998
2019-01-09,179.139999,182.699997,178.25,182.300003,182.300003,2298500,1.0,171.79428757142858
2019-01-10,181.850006,186.089996,180.259995,186.029999,186.029999,1988200,1.0,173.82796063265306
2019-01-11,184.619995,188.860001,183.429993,188.160004,188.160004,2222600,1.0,175.87539539941693
2019-01-14,186.710007,186.990005,183.779999,183.910004,183.910004,1962000,0.0,177.02319662807167
2019-01-15,184.369995,186.759995,183.059998,186.679993,186.679993,1330500,1.0,178.40273896691858
2019-01-16,186.210007,188.339996,184.130005,186.149994,186.149994,2251200,0.0,179.50948968593022
2019-01-17,185.770004,191.419998,184.710007,190.520004,190.520004,1605900,1.0,181.0824203022259
2019-01-18,192.630005,194.779999,189.410004,194.699997,194.699997,2150100,1.0,183.02778840190788
2019-01-22,193.479996,195.809998,192.389999,193.880005,193.880005,2003900,0.0,184.5781050587782
2019-01-23,194.669998,195.199997,187.779999,189.889999,189.889999,2043000,0.0,185.3369470503813
2019-01-24,189.639999,190.229996,186.470001,186.580002,186.580002,1825300,0.0,185.51452632889826
2019-01-25,188.160004,190.389999,186.270004,189.5,189.5,1404800,1.0,186.08387971048424
2019-01-28,188.940002,188.979996,185.759995,188.089996,188.089996,1513500,0.0,186.37046775184362
2019-01-29,188.160004,188.259995,184.699997,186.380005,186.380005,1024500,0.0,186.37183021586594
2019-01-30,185.839996,187.919998,184.5,187.050003,187.050003,1385900,1.0,186.46871204217084
2019-01-31,187.169998,190.979996,186.860001,190.910004,190.910004,900800,1.0,187.10318232186071
2019-02-01,190.919998,193.029999,189.919998,191.520004,191.520004,892800,1.0,187.73415684730918
2019-02-04,189.190002,189.279999,184.490005,187.979996,187.979996,1482300,0.0,187.76927672626502
2019-02-05,185.809998,190.740005,185.440002,187.020004,187.020004,1643500,0.0,187.66223776537
2019-02-06,193.0,193.0,182.059998,182.389999,182.389999,1915700,0.0,186.90906079888856
2019-02-07,181.5,182.589996,178.990005,180.179993,180.179993,1462500,0.0,185.94776539904734
2019-02-08,178.759995,181.449997,178.759995,181.339996,181.339996,980600,1.0,185.28951262775487
